SRA Accession,species,Data type
SRR096520,Chlamydomonas reinhardtii,RNA-seq
SRR1015654,Chlamydomonas reinhardtii,RNA-seq
SRR1015655,Chlamydomonas reinhardtii,RNA-seq
SRR1015656,Chlamydomonas reinhardtii,RNA-seq
SRR1015657,Chlamydomonas reinhardtii,RNA-seq
SRR1015658,Chlamydomonas reinhardtii,RNA-seq
SRR1015659,Chlamydomonas reinhardtii,RNA-seq
SRR1015660,Chlamydomonas reinhardtii,RNA-seq
SRR1015661,Chlamydomonas reinhardtii,RNA-seq
SRR1015662,Chlamydomonas reinhardtii,RNA-seq
SRR1015663,Chlamydomonas reinhardtii,RNA-seq
SRR1015664,Chlamydomonas reinhardtii,RNA-seq
SRR1015665,Chlamydomonas reinhardtii,RNA-seq
SRR1015666,Chlamydomonas reinhardtii,RNA-seq
SRR1015667,Chlamydomonas reinhardtii,RNA-seq
SRR1015668,Chlamydomonas reinhardtii,RNA-seq
SRR10269727,Chlamydomonas reinhardtii,RNA-seq
SRR10269728,Chlamydomonas reinhardtii,RNA-seq
SRR10269729,Chlamydomonas reinhardtii,RNA-seq
SRR10269730,Chlamydomonas reinhardtii,RNA-seq
SRR10269731,Chlamydomonas reinhardtii,RNA-seq
SRR10269732,Chlamydomonas reinhardtii,RNA-seq
SRR10290591,Chlamydomonas reinhardtii,RNA-seq
SRR10290592,Chlamydomonas reinhardtii,RNA-seq
SRR10290593,Chlamydomonas reinhardtii,RNA-seq
SRR10290594,Chlamydomonas reinhardtii,RNA-seq
SRR10290595,Chlamydomonas reinhardtii,RNA-seq
SRR10290596,Chlamydomonas reinhardtii,RNA-seq
SRR10290597,Chlamydomonas reinhardtii,RNA-seq
SRR10290598,Chlamydomonas reinhardtii,RNA-seq
SRR10290599,Chlamydomonas reinhardtii,RNA-seq
SRR10290600,Chlamydomonas reinhardtii,RNA-seq
SRR10384639,Chlamydomonas reinhardtii,RNA-seq
SRR10384640,Chlamydomonas reinhardtii,RNA-seq
SRR10384641,Chlamydomonas reinhardtii,RNA-seq
SRR10384642,Chlamydomonas reinhardtii,RNA-seq
SRR10384643,Chlamydomonas reinhardtii,RNA-seq
SRR10384644,Chlamydomonas reinhardtii,RNA-seq
SRR10384645,Chlamydomonas reinhardtii,RNA-seq
